client_id,date,amount,segment,channel,country,declared_income,days_until_last_observed_transaction
C0389,2025-01-01,10222.122870778707,regular,app,RU,66611.28251620958,178
C0139,2025-06-09,35507.29491582651,opportunistic,manager,BY,143214.9268186321,12
C0107,2025-06-09,43346.870574574656,regular,app,RU,56532.060379392606,20
C0205,2025-05-09,3254.168745994023,regular,app,AM,33782.36257951558,48
C0247,2025-06-07,26433.186690711645,opportunistic,manager,RU,,0
C0079,2025-02-27,64427.52124589456,opportunistic,manager,RU,35790.53449527416,118
C0263,2025-02-03,13992.97693360684,regular,app,RU,72432.82695809603,144
C0250,2025-05-12,8999.206559462464,regular,app,BY,56532.86206867094,47
C0220,2025-03-30,20995.73237726115,regular,app,RU,89109.60304575077,90
C0389,2025-03-17,7506.09589777669,regular,app,RU,66611.28251620958,103
C0134,2025-02-09,12837.356696620474,regular,web,RU,162091.34627439242,139
C0307,2025-06-23,13109.423386727844,regular,app,KZ,111706.42563456245,3
C0242,2025-06-15,57813.992344001046,opportunistic,app,RU,,13
C0103,2025-06-18,26309.078017181288,regular,app,RU,41425.609103306146,9
C0317,2025-03-04,7526.453613357713,regular,app,RU,37535.87622140273,111
C0221,2025-06-08,13155.54186425484,regular,web,RU,100670.64887680218,18
C0223,2025-02-01,284335.7983171201,opportunistic,web,RU,26184.462394076887,148
C0140,2025-01-23,4984.796851459138,regular,app,AM,51875.679615003515,154
C0288,2025-06-23,12162.841650279228,regular,web,KZ,32072.151687949587,0
C0129,2025-05-11,19325.853227101885,regular,web,RU,102226.20848008845,19
C0321,2025-01-18,1718.4948725803945,new,web,RU,40102.093296631676,139
C0352,2025-05-31,36374.24419744946,regular,app,RU,103141.23639450001,27
C0259,2025-01-02,10638.291104126374,regular,web,KZ,54966.058792712574,176
C0331,2025-04-25,25360.42469841629,opportunistic,manager,RU,28003.565733441188,61
C0138,2025-06-13,10653.145921048803,regular,app,RU,59561.26986369458,12
C0255,2025-04-30,19210.35903489817,regular,app,AM,29087.88109205289,60
C0134,2025-06-23,15292.242317075354,regular,app,RU,162091.34627439242,5
C0366,2025-03-02,7564.621719354645,regular,app,RU,56128.80472027171,114
C0004,2025-04-26,54146.979940740464,opportunistic,manager,RU,30423.747915419874,61
C0218,2025-05-08,2330.554761406504,regular,web,AM,46855.648918213476,52
C0378,2025-04-16,11462.157759496367,regular,app,BY,93929.37563679303,73
C0268,2025-05-05,9600.462343527473,regular,web,KZ,36060.11248799635,48
C0067,2025-04-09,88208.00389559919,opportunistic,web,BY,,81
C0266,2025-04-14,4901.45095490007,regular,web,AM,60126.4423558778,69
C0230,2025-04-23,4599.985983737708,regular,app,RU,32681.058632895285,67
C0274,2025-04-05,65906.55005371157,opportunistic,app,RU,55376.719713659855,58
C0318,2025-01-13,16305.97626028383,opportunistic,app,RU,64130.477782441994,154
C0373,2025-02-11,13821.921200770887,regular,app,RU,,137
C0115,2025-05-03,16762.886756554035,regular,app,RU,140101.75043049947,47
C0099,2025-04-26,4368.674576345919,regular,web,BY,64136.52177165041,64
C0034,2025-06-10,3958.5515349263937,regular,app,BY,139312.1307018514,19
C0070,2025-04-15,12678.023429176536,regular,web,RU,72265.69587493673,74
C0155,2025-04-01,18909.485165070815,regular,app,RU,26171.924123075,72
C0378,2025-01-24,5406.388208800256,regular,manager,BY,93929.37563679303,155
C0019,2025-04-21,23825.505437718126,opportunistic,web,RU,88136.4967035286,21
C0232,2025-03-31,6755.976438505168,regular,app,RU,75576.78867544084,90
C0326,2025-05-27,29478.266777948702,opportunistic,manager,KZ,,9
C0217,2025-01-25,8397.107952579605,regular,app,RU,133378.46522269418,147
C0328,2025-03-19,8958.628804810985,regular,web,KZ,65732.80809874619,98
C0322,2025-02-18,9570.193587878102,regular,app,RU,89967.3339755547,114
C0074,2025-01-02,2839.526461470147,regular,app,RU,65236.56695866103,178
C0107,2025-01-12,33901.646349056384,regular,web,RU,56532.060379392606,168
C0283,2025-03-25,7700.2944135061425,regular,app,AM,49637.64105345447,90
C0365,2025-05-10,21686.75873175064,opportunistic,app,RU,66589.23523916356,21
C0257,2025-03-31,52669.59628798887,opportunistic,app,RU,,71
C0009,2025-04-18,6068.845661070349,regular,manager,KZ,97350.63118258487,72
C0311,2025-04-11,23823.188140199196,regular,app,RU,18468.17377658533,77
C0281,2025-04-28,18900.847906633087,regular,app,RU,27211.30833168933,58
C0128,2025-03-13,12827.865924695574,regular,app,RU,63110.63911316603,108
C0081,2025-01-01,84236.4548626608,opportunistic,manager,RU,56316.60043091989,165
C0316,2025-01-17,13587.666453487696,regular,app,RU,57827.32199477627,161
C0399,2025-01-08,5798.542644076579,regular,app,RU,66589.02089418373,170
