experience,industry,city,education,salary
21,Banking,Moscow,Master,280.77
5,Retail,Moscow,Master,137.8
17,IT,Saint Petersburg,Bachelor,220.64
0,Manufacturing,Moscow,Master,162.03
14,IT,Moscow,Bachelor,236.82
14,IT,Saint Petersburg,Master,198.19
9,Manufacturing,Kazan,Bachelor,120.94
25,IT,Moscow,Bachelor,312.02
22,Banking,Saint Petersburg,Bachelor,244.23
1,Banking,Tomsk,Master,114.28
5,Banking,Saint Petersburg,Master,166.93
5,Banking,Tomsk,Bachelor,130.24
23,IT,Kazan,Master,279.24
13,Retail,Moscow,Master,163.55
18,Retail,Moscow,Bachelor,179.86
21,Banking,Saint Petersburg,Master,254.91
19,Retail,Tomsk,Master,181.2
2,Banking,Saint Petersburg,Bachelor,147.29
3,Manufacturing,Moscow,Master,135.87
10,Banking,Saint Petersburg,Bachelor,183.43
8,Retail,Moscow,Master,182.65
19,IT,Kazan,Bachelor,236.76
4,Retail,Saint Petersburg,Master,132.5
9,IT,Kazan,Bachelor,176.27
6,Retail,Kazan,Master,110.97
4,Banking,Saint Petersburg,PhD,180.7
4,Manufacturing,Saint Petersburg,Bachelor,154.67
5,Retail,Kazan,Master,118.86
14,Retail,Kazan,PhD,166.98
10,Manufacturing,Kazan,Master,157.14
11,Manufacturing,Moscow,Bachelor,183.62
12,Banking,Saint Petersburg,Master,198.28
19,IT,Moscow,Bachelor,263.74
22,IT,Kazan,Bachelor,252.41
13,IT,Saint Petersburg,Master,246.0
16,Retail,Moscow,Master,228.62
19,Manufacturing,Moscow,Master,255.93
17,Manufacturing,Moscow,Bachelor,193.18
3,Retail,Kazan,Master,94.74
25,Retail,Moscow,Master,246.64
4,Manufacturing,Moscow,Bachelor,136.88
10,Manufacturing,Tomsk,Master,137.51
16,Banking,Kazan,Bachelor,185.05
10,Retail,Moscow,Bachelor,146.46
6,Manufacturing,Moscow,Master,160.91
24,IT,Tomsk,PhD,274.32
1,IT,Kazan,Bachelor,159.21
6,Manufacturing,Saint Petersburg,Bachelor,145.59
25,Manufacturing,Moscow,Bachelor,294.49
18,Manufacturing,Moscow,Master,236.07
2,Retail,Moscow,Bachelor,109.78
19,IT,Kazan,Master,246.07
25,IT,Moscow,PhD,324.62
2,Retail,Moscow,Bachelor,122.83
10,Retail,Kazan,Master,183.38
12,Retail,Tomsk,Master,132.78
3,Retail,Kazan,Master,126.46
5,IT,Saint Petersburg,Bachelor,175.74
4,Retail,Saint Petersburg,Bachelor,83.72
4,IT,Moscow,Bachelor,193.87
10,IT,Moscow,Master,250.82
12,Banking,Saint Petersburg,Master,189.57
6,Banking,Moscow,Bachelor,169.84
7,Manufacturing,Saint Petersburg,Bachelor,115.94
4,IT,Tomsk,Master,140.34
20,Banking,Tomsk,Bachelor,223.86
5,Retail,Moscow,Bachelor,121.6
23,Retail,Moscow,Master,218.04
14,Banking,Moscow,Bachelor,214.13
20,IT,Moscow,Bachelor,250.6
16,Banking,Moscow,Bachelor,211.53
6,Retail,Moscow,Bachelor,148.31
15,IT,Kazan,Master,205.09
7,Banking,Saint Petersburg,Master,163.7
3,Banking,Tomsk,Master,140.77
6,Retail,Moscow,Bachelor,152.45
7,Banking,Moscow,Master,215.29
3,Manufacturing,Moscow,Bachelor,128.03
0,Banking,Moscow,Master,174.87
24,Retail,Moscow,Bachelor,210.89
13,IT,Tomsk,Master,240.87
10,IT,Moscow,Bachelor,189.59
24,Banking,Moscow,Bachelor,283.91
5,Manufacturing,Saint Petersburg,Bachelor,125.18
10,Manufacturing,Saint Petersburg,Bachelor,198.24
22,Banking,Saint Petersburg,Bachelor,247.64
16,Banking,Moscow,Master,219.71
10,Manufacturing,Kazan,Master,156.6
6,Retail,Moscow,Bachelor,149.06
0,Banking,Moscow,Master,176.95
2,Banking,Saint Petersburg,Master,153.73
4,Retail,Kazan,Master,116.8
20,Retail,Moscow,Master,236.65
16,Retail,Saint Petersburg,Master,192.37
11,Manufacturing,Moscow,Master,174.72
20,IT,Moscow,Master,263.37
4,IT,Moscow,Master,202.23
5,IT,Kazan,Bachelor,179.88
10,IT,Moscow,Bachelor,239.09
