area,rooms,distance_to_center,building_age,price
98.5,4,6.32,55.0,13.347
66.7,4,21.39,19.3,11.056
106.6,5,9.03,36.5,16.178
91.2,4,21.41,27.9,15.989
33.9,2,7.82,24.0,5.869
117.7,5,14.96,31.9,19.38
97.3,4,10.23,11.2,15.066
99.7,3,7.23,59.3,15.683
37.2,1,22.22,49.1,3.419
67.8,2,5.1,44.5,10.105
60.2,3,2.58,28.1,10.395
113.0,3,8.88,9.2,14.226
86.2,4,18.08,55.2,13.104
103.2,4,20.28,20.5,15.596
67.1,3,24.97,3.0,10.044
46.6,2,7.76,20.5,9.683
77.7,4,10.49,47.7,14.45
31.1,2,3.85,37.4,5.897
103.6,3,14.58,45.1,14.632
85.0,3,24.94,47.6,9.203
97.0,3,17.67,12.7,13.307
58.7,2,15.08,55.4,6.897
117.2,5,10.11,26.3,21.528
109.8,4,22.92,38.3,15.138
98.9,3,12.67,0.1,13.841
43.5,1,3.79,59.6,7.976
69.3,2,9.45,16.9,6.868
29.2,1,2.15,3.7,4.417
39.7,1,5.45,27.5,7.409
89.9,3,0.93,7.7,14.655
95.8,4,11.61,9.1,15.074
116.9,5,16.05,37.9,13.331
56.0,1,8.91,23.6,8.059
60.2,2,10.8,55.3,11.303
69.6,3,24.0,19.1,10.551
43.0,2,18.92,43.6,5.881
37.3,2,13.75,27.7,5.498
70.2,1,7.47,39.6,8.976
46.6,1,22.48,36.0,2.63
88.6,4,6.26,28.4,14.532
66.5,1,8.47,57.0,10.067
104.1,5,22.77,20.6,11.115
91.5,4,13.47,10.6,12.496
54.7,3,18.69,40.7,6.219
104.1,3,14.97,50.8,11.561
101.5,4,16.51,2.4,14.859
61.8,3,7.83,27.0,7.084
52.4,2,6.41,53.5,8.886
89.8,3,8.4,45.0,14.446
38.3,2,4.31,59.5,6.353
44.0,1,21.92,31.9,2.172
25.7,1,7.44,39.6,3.69
99.8,3,14.26,18.1,16.53
88.2,3,19.9,56.9,5.796
92.0,4,19.7,22.0,12.222
99.2,3,11.24,44.3,11.189
68.6,2,12.17,24.2,11.068
79.0,4,24.87,33.7,9.401
38.3,1,17.03,43.2,5.151
35.9,1,20.46,30.5,4.835
88.5,3,22.61,54.4,14.502
69.8,3,19.8,25.2,9.318
78.7,3,5.04,38.8,12.861
97.7,4,14.27,20.5,11.119
85.3,4,3.0,24.5,16.353
77.6,3,16.5,26.4,9.59
78.1,3,23.91,7.5,9.445
53.9,4,13.06,5.5,9.6
27.9,1,11.11,40.0,2.975
66.5,1,1.38,39.3,10.277
45.4,3,24.01,39.8,7.201
63.8,2,3.02,1.2,11.193
106.1,4,1.51,19.6,13.175
47.2,3,6.53,11.9,8.735
30.5,1,2.11,46.7,6.236
51.7,1,11.65,51.6,4.366
52.9,1,13.14,14.8,5.989
87.9,3,8.16,40.1,14.55
77.9,3,1.75,7.8,13.534
99.5,4,3.23,16.5,16.736
88.1,3,9.92,8.3,16.842
63.6,1,1.98,17.0,10.621
102.3,2,17.61,40.5,14.169
40.9,1,5.57,54.6,9.14
27.2,1,7.9,12.2,4.927
33.6,2,10.16,32.5,5.093
93.6,4,10.71,42.1,14.695
68.9,3,0.54,57.2,11.975
40.3,2,3.25,36.6,6.822
72.6,3,21.64,15.3,8.216
39.5,2,0.53,37.5,10.049
91.2,3,12.95,19.2,13.683
67.4,2,12.49,58.6,7.851
61.2,2,8.66,24.0,10.696
53.6,2,11.07,41.1,7.757
84.9,3,19.62,1.4,11.356
59.4,2,21.11,24.0,8.46
33.3,1,6.88,52.5,3.985
36.2,1,8.4,36.6,6.0
116.4,5,6.44,26.6,22.558
111.3,3,12.26,56.2,15.867
91.5,2,17.24,51.2,10.577
50.3,1,6.09,19.3,7.214
117.1,3,8.6,32.7,15.284
99.0,3,23.29,29.4,11.967
93.1,4,1.69,37.9,14.156
67.7,2,11.79,20.0,11.246
50.9,2,17.93,14.7,5.04
34.2,2,4.19,54.8,7.072
110.7,5,1.66,55.4,16.399
68.3,2,3.89,50.6,10.873
44.2,3,23.01,58.7,4.426
54.1,2,0.73,44.7,10.884
80.0,2,5.11,45.9,13.794
41.8,1,1.27,45.8,8.038
106.4,3,3.21,28.8,12.349
97.1,3,15.69,27.4,14.974
93.3,3,6.42,14.4,14.977
66.0,3,14.45,38.7,7.145
84.6,4,14.96,17.4,12.675
80.5,2,21.31,15.5,10.876
86.7,3,0.62,35.2,14.781
33.0,1,21.41,24.6,4.103
64.5,3,15.67,13.1,10.191
29.0,1,4.49,49.0,6.344
71.9,1,19.44,51.6,10.176
56.3,3,21.46,10.1,4.262
38.7,1,6.73,0.5,6.456
34.8,1,23.01,20.2,3.87
80.8,2,11.63,47.9,7.675
41.2,1,15.28,50.4,5.251
112.9,4,24.62,8.3,17.952
80.2,3,9.36,46.5,9.765
58.0,2,20.42,6.9,8.358
81.1,3,8.3,23.4,10.705
27.2,2,20.08,59.9,2.872
116.1,4,15.22,11.6,20.017
70.8,1,5.8,9.2,9.55
99.4,4,10.64,25.4,15.781
32.9,1,8.28,37.2,3.504
71.2,3,2.41,56.0,14.384
71.6,3,1.23,58.8,12.467
114.1,4,8.99,4.2,16.628
79.3,3,0.97,8.3,14.329
70.0,4,4.55,47.4,9.478
50.4,3,18.27,16.2,9.243
56.5,2,17.85,53.1,6.757
74.5,3,18.6,39.8,9.72
66.7,3,8.27,6.7,10.245
27.1,1,22.31,50.0,2.199
103.5,4,15.05,10.6,16.543
110.1,4,3.59,25.4,17.475
38.3,2,4.02,33.1,7.806
77.6,2,17.48,30.0,10.074
35.3,1,4.74,41.2,6.408
88.9,2,12.93,39.2,10.946
51.7,1,24.8,59.5,7.906
87.6,3,0.6,60.0,10.356
94.1,3,0.91,31.0,17.177
98.0,5,24.83,5.7,16.832
35.2,2,14.82,43.7,4.448
112.0,3,3.61,58.6,21.12
